Method Strike bpvol
Reference 0.0034112325 0.0069511945
Reference 0.0084112325 0.005593476
Reference 0.0109112325 0.0056426279
Reference 0.0134112325 0.0060367039
Reference 0.0159112325 0.0065177869
Reference 0.0164112325 0.0066277642
Reference 0.0169112325 0.0067394472
Reference 0.0174112325 0.0068541294
Reference 0.0179112325 0.0069735106
Reference 0.0184112325 0.0070990973
Reference 0.0189112325 0.0072318769
Reference 0.0194112325 0.0073715478
Reference 0.0199112325 0.0075172575
Reference 0.0204112325 0.0076679479
Reference 0.0209112325 0.0078222947
Reference 0.0234112325 0.0085819546
Reference 0.0259112325 0.0092668116
Reference 0.0284112325 0.009898088
Reference 0.0334112325 0.0110632582
Reference 0.0384112325 0.012887474
Explicit 0.0034112325 0.006775073233939855
Explicit 0.0037612325 0.006754790914986978
Explicit 0.0041112325 0.00673240348227875
Explicit 0.0044612325000000005 0.00670829601760477
Explicit 0.0048112325 0.006682796762344323
Explicit 0.0051612325 0.006656193332468495
Explicit 0.0055112325 0.0066287442555479845
Explicit 0.005861232500000001 0.0066006874639539465
Explicit 0.0062112325 0.006572246748524237
Explicit 0.0065612325 0.006543636810128263
Explicit 0.0069112325 0.006515067323911274
Explicit 0.0072612325 0.006486746290404307
Explicit 0.0076112325000000005 0.006458882855193777
Explicit 0.007961232500000002 0.006431689715143005
Explicit 0.008311232500000001 0.006405385182867045
Explicit 0.008661232500000001 0.006380194945381005
Explicit 0.0090112325 0.006356353523325091
Explicit 0.0093612325 0.006334105411360485
Explicit 0.0097112325 0.006313705856870111
Explicit 0.0100612325 0.006295421212608587
Explicit 0.010411232500000001 0.006279528779970529
Explicit 0.0107612325 0.0062663160445764685
Explicit 0.0111112325 0.00625607919737352
Explicit 0.0114612325 0.006249120835787875
Explicit 0.011811232500000001 0.006245746754678964
Explicit 0.0121612325 0.0062462617700500675
Explicit 0.012511232500000002 0.006250964572914827
Explicit 0.0128612325 0.006260141687417494
Explicit 0.013211232500000001 0.006274060703468314
Explicit 0.013561232500000001 0.006292963061809263
Explicit 0.0139112325 0.006317056774863884
Explicit 0.014261232500000002 0.006346509551494396
Explicit 0.014611232500000002 0.006381442837669668
Explicit 0.0149612325 0.0064219272708276294
Explicit 0.0153112325 0.006467979964675269
Explicit 0.0156612325 0.006519563897396642
Explicit 0.0160112325 0.0065765894878189275
Explicit 0.016361232500000003 0.006638918240052707
Explicit 0.0167112325 0.0067063681507213814
Explicit 0.017061232500000002 0.0067787204332920336
Explicit 0.017411232500000002 0.006855727039374776
Explicit 0.0177612325 0.00693711845101855
Explicit 0.0181112325 0.0070226112716035615
Explicit 0.0184612325 0.007111915237660897
Explicit 0.0188112325 0.007204739388472968
Explicit 0.0191612325 0.007300797245230016
Explicit 0.0195112325 0.007399810952554364
Explicit 0.019861232500000003 0.007501514414398754
Explicit 0.020211232500000002 0.007605655511160381
Explicit 0.020561232500000002 0.007711997517054451
Explicit 0.0209112325 0.007820319850306243
Explicit 0.0212612325 0.007930418288421288
Explicit 0.021611232500000004 0.008042104771365782
Explicit 0.0219612325 0.00815520690089089
Explicit 0.0223112325 0.008269567227464787
Explicit 0.022661232500000003 0.008385042399413485
Explicit 0.023011232500000003 0.008501502233198949
