Method Strike Volatility
Reference 0.0034112325 0.0069511945
Reference 0.0084112325 0.005593476
Reference 0.0109112325 0.0056426279
Reference 0.0134112325 0.0060367039
Reference 0.0159112325 0.0065177869
Reference 0.0184112325 0.0070990973
Reference 0.0209112325 0.0078222947
Reference 0.0234112325 0.0085819546
Reference 0.0259112325 0.0092668116
Reference 0.0284112325 0.009898088
Reference 0.0334112325 0.0110632582
Reference 0.0384112325 0.012887474
Explicit-40 0.0034112325 0.005882017554415507
Levenberg-Marquardt-40 0.0034112325 0.006205959591276039
Explicit-40 0.0037612325 0.005888328859800466
Levenberg-Marquardt-40 0.0037612325 0.00621705642335838
Explicit-40 0.0041112325 0.0058798491311813205
Levenberg-Marquardt-40 0.0041112325 0.006207713619827853
Explicit-40 0.0044612325000000005 0.005870036050497774
Levenberg-Marquardt-40 0.0044612325000000005 0.00619637194576736
Explicit-40 0.0048112325 0.005859623167605377
Levenberg-Marquardt-40 0.0048112325 0.006184044590630884
Explicit-40 0.0051612325 0.005848742837033138
Levenberg-Marquardt-40 0.0051612325 0.006170997122749632
Explicit-40 0.0055112325 0.005837829361863176
Levenberg-Marquardt-40 0.0055112325 0.006157439867617877
Explicit-40 0.005861232500000001 0.005827077232392084
Levenberg-Marquardt-40 0.005861232500000001 0.00614374607856946
Explicit-40 0.0062112325 0.005816609161798832
Levenberg-Marquardt-40 0.0062112325 0.006130081907367355
Explicit-40 0.0065612325 0.005806855963671941
Levenberg-Marquardt-40 0.0065612325 0.006116571397115899
Explicit-40 0.0069112325 0.005797827834674476
Levenberg-Marquardt-40 0.0069112325 0.006103568101245849
Explicit-40 0.0072612325 0.005789938874433788
Levenberg-Marquardt-40 0.0072612325 0.0060911443084585275
Explicit-40 0.0076112325000000005 0.005783228825023933
Levenberg-Marquardt-40 0.0076112325000000005 0.006079621233447492
Explicit-40 0.007961232500000002 0.005778106331381768
Levenberg-Marquardt-40 0.007961232500000002 0.006069155784623823
Explicit-40 0.008311232500000001 0.005774607010795895
Levenberg-Marquardt-40 0.008311232500000001 0.006059864544428191
Explicit-40 0.008661232500000001 0.005773086345811618
Levenberg-Marquardt-40 0.008661232500000001 0.006052049151160856
Explicit-40 0.0090112325 0.005773771501496221
Levenberg-Marquardt-40 0.0090112325 0.006045923837266385
Explicit-40 0.0093612325 0.005776801007185419
Levenberg-Marquardt-40 0.0093612325 0.00604161097818785
Explicit-40 0.0097112325 0.005782450914643615
Levenberg-Marquardt-40 0.0097112325 0.006039369104754538
Explicit-40 0.0100612325 0.005790964477827733
Levenberg-Marquardt-40 0.0100612325 0.006039499604130186
Explicit-40 0.010411232500000001 0.005802561067751881
Levenberg-Marquardt-40 0.010411232500000001 0.006042046653081008
Explicit-40 0.0107612325 0.005817445662948643
Levenberg-Marquardt-40 0.0107612325 0.006047303681828178
Explicit-40 0.0111112325 0.005835812715817942
Levenberg-Marquardt-40 0.0111112325 0.006055478341634696
Explicit-40 0.0114612325 0.005857844712979743
Levenberg-Marquardt-40 0.0114612325 0.006066761946784979
Explicit-40 0.011811232500000001 0.005883707427896462
Levenberg-Marquardt-40 0.011811232500000001 0.0060813221679866716
Explicit-40 0.0121612325 0.005913544167516893
