Method Strike Volatility
Reference 0.020099999999999996 0.138
Reference 0.030099999999999995 0.131
Reference 0.0351 0.1274
Reference 0.037599999999999995 0.1268
Reference 0.0401 0.12619999999999998
Reference 0.0426 0.1255
Reference 0.045099999999999994 0.1249
Reference 0.0501 0.1243
Reference 0.0601 0.1258
Parabola-3 0.020099999999999996 0.12482947914238929
Parabola-3 0.020499999999999997 0.12510723836751375
Parabola-3 0.020899999999999995 0.1253660154968471
Parabola-3 0.021299999999999996 0.12560678596699326
Parabola-3 0.021699999999999997 0.12583046133890152
Parabola-3 0.022099999999999998 0.12603789447714633
Parabola-3 0.022499999999999996 0.12622988422821182
Parabola-3 0.022899999999999997 0.12640717965394055
Parabola-3 0.023299999999999998 0.12657048386916897
Parabola-3 0.0237 0.12672045752644737
Parabola-3 0.024099999999999996 0.12685772198546863
Parabola-3 0.024499999999999997 0.1269828622002814
Parabola-3 0.0249 0.12709642935342694
Parabola-3 0.025299999999999996 0.127198943262724
Parabola-3 0.025699999999999997 0.12729089458346057
Parabola-3 0.026099999999999998 0.12737274682616453
Parabola-3 0.026499999999999996 0.1274449382078673
Parabola-3 0.026899999999999997 0.1275078833528003
Parabola-3 0.027299999999999998 0.12756197485673035
Parabola-3 0.027699999999999995 0.12760758472761866
Parabola-3 0.0281 0.12764506571394774
Parabola-3 0.028499999999999998 0.12767475253087934
Parabola-3 0.028899999999999995 0.12769696299336056
Parabola-3 0.0293 0.1277119990643731
Parabola-3 0.029699999999999997 0.1277201478256992
Parabola-3 0.0301 0.12772168237784973
Parabola-3 0.0305 0.12771686267515361
Parabola-3 0.030899999999999997 0.127705936301429
Parabola-3 0.031299999999999994 0.12768913919114216
Parabola-3 0.0317 0.12766669630049993
Parabola-3 0.0321 0.12763882223250916
Parabola-3 0.0325 0.12760572181966703
Parabola-3 0.0329 0.12756759066761525
Parabola-3 0.033299999999999996 0.12752461566279222
Parabola-3 0.0337 0.1274769754468503
Parabola-3 0.0341 0.12742484086036215
Parabola-3 0.0345 0.12736837535812334
Parabola-3 0.0349 0.12730773539816057
Parabola-3 0.0353 0.12724307080637764
Parabola-3 0.035699999999999996 0.12717452511860838
Parabola-3 0.0361 0.12710223590170147
Parabola-3 0.036500000000000005 0.1270263350551275
Parabola-3 0.0369 0.12694694909447976
Parabola-3 0.0373 0.12686419941812863
Parabola-3 0.0377 0.12677820255819172
Parabola-3 0.038099999999999995 0.12668907041688912
Parabola-3 0.0385 0.12659691048927071
Parabola-3 0.038900000000000004 0.12650182607322774
Parabola-3 0.0393 0.1264039164676292
Parabola-3 0.0397 0.1263032771593627
Parabola-3 0.0401 0.12619999999999998
Parabola-3 0.0405 0.1260941733727538
Parabola-3 0.040900000000000006 0.12598588235034572
