nu K black
Low 1007.0 0.31840173134381794
High 1007.0 0.3136920593145478
Low 1047.28 0.314624837853792
High 1047.28 0.31017472650079725
Low 1087.5600000000002 0.3110123014793698
High 1087.5600000000002 0.30682609574748215
Low 1127.8400000000001 0.3075538336816085
High 1127.8400000000001 0.3036340521300915
Low 1168.12 0.30424025473801564
High 1168.12 0.30058783606819955
Low 1208.3999999999999 0.3010633416404016
High 1208.3999999999999 0.29767785047728657
Low 1248.68 0.2980157006083883
High 1248.68 0.2948955004696777
Low 1288.96 0.29509065952747426
High 1288.96 0.2922330592418663
Low 1329.24 0.2922821766333097
High 1329.24 0.2896835551874478
Low 1369.52 0.28958476253508825
High 1369.52 0.2872406763366505
Low 1409.8 0.286993413263652
High 1409.8 0.28489868903220056
Low 1450.08 0.2845035524893548
High 1450.08 0.2826523683771837
Low 1490.36 0.282110981413691
High 1490.36 0.2804969384729423
Low 1530.64 0.2798118351212861
High 1530.64 0.27842802084585805
Low 1570.92 0.2776025444028576
High 1570.92 0.2764415897598197
Low 1611.2 0.27547980223842855
High 1611.2 0.27453393334759935
Low 1651.48 0.27344053427346954
High 1651.48 0.27270161968462775
Low 1691.7600000000002 0.27148187273630453
High 1691.7600000000002 0.27094146708062683
Low 1732.04 0.2696011333387899
High 1732.04 0.26925051798520677
Low 1772.32 0.2677957947785139
High 1772.32 0.26762601600394464
Low 1812.6000000000001 0.2660634805229638
High 1812.6000000000001 0.26606538560484205
Low 1852.8799999999999 0.264401942607009
High 1852.8799999999999 0.264566214167567
Low 1893.1599999999999 0.2628090472163415
High 1893.1599999999999 0.26312623603460916
Low 1933.4399999999998 0.2612827618646891
High 1933.4399999999998 0.26174331840997683
Low 1973.72 0.25982114399894474
High 1973.72 0.26041544876628314
Low 2014.0 0.2584223308891453
High 2014.0 0.2591407234421161
Low 2054.28 0.25708453068528153
High 2054.28 0.25791733799879796
Low 2094.56 0.25580601452577145
High 2094.56 0.2567435782431482
Low 2134.84 0.25458510960113545
High 2134.84 0.2556178117057098
Low 2175.1200000000003 0.25342019310024244
High 2175.1200000000003 0.2545384812351277
Low 2215.4 0.25230968694429196
High 2215.4 0.2535040982733617
Low 2255.6800000000003 0.2512520532486241
High 2255.6800000000003 0.25251323721471325
Low 2295.96 0.25024579044370243
High 2295.96 0.2515645303439768
Low 2336.2400000000002 0.2492894299942811
High 2336.2400000000002 0.2506566632843936
Low 2376.5200000000004 0.2483815336599343
High 2376.5200000000004 0.24978837095005105
Low 2416.7999999999997 0.24752069124280718
High 2416.7999999999997 0.24895843392162575
Low 2457.08 0.24670551877167296
High 2457.08 0.24816567522132194
Low 2497.36 0.24593465707379336
High 2497.36 0.24740895743326813
Low 2537.64 0.24520677068874877
High 2537.64 0.2466871801412122
Low 2577.92 0.24452054708075216
High 2577.92 0.24599927764566687
Low 2618.2000000000003 0.24387469610846324
High 2618.2000000000003 0.24534421693331765
Low 2658.4799999999996 0.24326794971377583
High 2658.4799999999996 0.24472099587032192
Low 2698.7599999999998 0.24269906179360753
High 2698.7599999999998 0.24412864159633468
Low 2739.04 0.2421668082212792
High 2739.04 0.24356620909579138
Low 2779.3199999999997 0.24166998698674919
High 2779.3199999999997 0.2430327799269039
Low 2819.6 0.24120741842761304
High 2819.6 0.2425274610899081
Low 2859.8799999999997 0.2407779455254985
High 2859.8799999999997 0.24204938401796852
Low 2900.16 0.24038043424514316
High 2900.16 0.2415977036756937
Low 2940.44 0.24001377389610326
High 2940.44 0.24117159775181712
Low 2980.72 0.23967687749959987
High 2980.72 0.2407702659331855
Low 3021.0 0.23936868214551502
High 3021.0 0.24039292925010336
Low 3061.28 0.239088149326897
High 3061.28 0.24003882948208297
Low 3101.56 0.23883426524157678
High 3101.56 0.2397072286159456
Low 3141.84 0.23860604105258082
High 3141.84 0.23939740834795914
Low 3182.1200000000003 0.2384025131009232
High 3182.1200000000003 0.2391086696233494
Low 3222.4 0.2382227430661178
High 3222.4 0.23884033220706324
Low 3262.6800000000003 0.23806581807129623
High 3262.6800000000003 0.23859173428018865
Low 3302.9599999999996 0.23793085073121079
High 3302.9599999999996 0.23836223205767373
Low 3343.24 0.23781697914260205
High 3343.24 0.23815119942321109
Low 3383.52 0.23772336681744277
High 3383.52 0.23795802757775186
Low 3423.7999999999997 0.23764920256045702
High 3423.7999999999997 0.23778212469891294
Low 3464.08 0.23759370029300894
High 3464.08 0.23762291560860843
Low 3504.36 0.23755609882606332
High 3504.36 0.23747984144714804
Low 3544.64 0.237535661585346
