guess asset expiry alpha error
LM 1 0.057534247 0.2707099848843612 1.4573956342209336E-4
LM 1 0.153424658 0.25632841678547297 1.296298464356975E-4
LM 1 0.230136986 0.2559924000286909 8.640872345954104E-5
LM 1 0.479452055 0.254840317129718 7.255875003616614E-5
LM 1 0.728767123 0.2565592082983976 3.5592374194006666E-5
LM 1 1.22739726 0.25975050486480333 2.6200642159599624E-5
LM 1 1.726027397 0.2606526472198361 2.0263786111663136E-5
LM 1 2.243835616 0.2617715168410682 1.6795508406197022E-5
LM 1 2.742465753 0.2616171538116114 1.5010969294375893E-5
LM 1 3.24109589 0.2623756166787363 1.3691824541925665E-5
LM 1 4.238356164 0.26335074791220514 1.1995382866207259E-5
GN 1 0.057534247 0.27070998489343107 1.4573956342203915E-4
GN 1 0.153424658 0.2563284167890373 1.2962984643558306E-4
GN 1 0.230136986 0.2559924000348828 8.640872345956713E-5
GN 1 0.479452055 0.2548403171091987 7.255875003614275E-5
GN 1 0.728767123 0.2565592082994248 3.559237419403529E-5
GN 1 1.22739726 0.2597505048527799 2.6200642159582897E-5
GN 1 1.726027397 0.26065264720087056 2.026378611178522E-5
GN 1 2.243835616 0.26177151682634653 1.6795508406193255E-5
GN 1 2.742465753 0.2616171538232241 1.5010969294524156E-5
GN 1 3.24109589 0.2623756166732565 1.369182454197404E-5
GN 1 4.238356164 0.26335074796473573 1.199538286620217E-5
LM sp500 0.0191780822 0.18085528410146778 0.02832997186230714
LM sp500 0.0849315068 0.1658427368123011 0.013695216644208707
LM sp500 0.1616438356 0.1622387536211416 0.009561670154309735
LM sp500 0.2383561644 0.16481233079341967 0.010508012390099917
LM sp500 0.4904109589 0.1725715440161981 0.01140425028586652
LM sp500 0.7479452055 0.18098936906475896 0.010376901922327219
LM sp500 1.0 0.18691863128939554 0.008970051533133098
LM sp500 1.495890411 0.19907583076966437 0.005626400676990869
LM sp500 2.0 0.2085956487872366 0.0038600919344358503
LM sp500 3.0 0.22611672119873524 0.0027927875178216403
LM sp500 4.0 0.23631505794630148 0.0021926991075019403
LM sp500 4.997260274 0.24299061680185963 0.0018592880779188272
LM sp500 7.002739726 0.2754636540401789 0.0014101913737397367
LM sp500 10.002739726 0.332864288652858 0.0011201752682873504
GN sp500 0.0191780822 0.18085594494778912 0.028329971870470778
GN sp500 0.0849315068 0.16584305583513315 0.013695216646438826
GN sp500 0.1616438356 0.16223890995037105 0.009561670155315873
GN sp500 0.2383561644 0.164813149430145 0.010508012409327935
GN sp500 0.4904109589 0.17257248811179488 0.011404250363691195
GN sp500 0.7479452055 0.1809907952950668 0.010376902013754068
GN sp500 1.0 0.18691725636148634 0.008970051634258106
GN sp500 1.495890411 0.19907534334784877 0.005626400692522252
GN sp500 2.0 0.20859541916666535 0.0038600919380537575
GN sp500 3.0 0.22611664346525753 0.002792787518103469
GN sp500 4.0 0.2363149978071486 0.002192699107602393
GN sp500 4.997260274 0.24299056402973584 0.0018592880779834768
GN sp500 7.002739726 0.2754640105678462 0.0014101913769035037
GN sp500 10.002739726 0.3465162212032162 0.017739356002557088
LM euro50 0.0191780822 0.18730871491489348 0.026538075985881596
LM euro50 0.0849315068 0.17736039463872383 0.010799835510396205
