optimization asset expiry alpha error
Smart 1 0.057534247 12.151919257171832 0.0019093165170451921
Smart 1 0.153424658 11.496396718783451 0.0017627500552942973
Smart 1 0.230136986 11.469001855918792 0.0015623938359922757
Smart 1 0.479452055 11.390274101725057 0.0011220675888969423
Smart 1 0.728767123 11.439217732858305 8.925577060589983E-4
Smart 1 1.22739726 11.528668004195067 6.884649173001756E-4
Smart 1 1.726027397 11.523775573258291 5.457914177446943E-4
Smart 1 2.243835616 11.528456809298968 4.5487529060337837E-4
Smart 1 2.742465753 11.482368747203182 3.9497031937084555E-4
Smart 1 3.24109589 11.474692225108889 3.521495999959034E-4
Smart 1 4.238356164 11.435528911231637 2.954636192413862E-4
Smart sp500 0.0191780822 6.85483661589602 0.031242254189987235
Smart sp500 0.0849315068 6.25962640910107 0.016435703456798706
Smart sp500 0.1616438356 6.102212200772424 0.012048549353989064
Smart sp500 0.2383561644 6.185989303384001 0.012718396040694229
Smart sp500 0.4904109589 6.446622413631616 0.013271433768685793
Smart sp500 0.7479452055 6.731766754416587 0.012111706212998561
Smart sp500 1.0 6.934467513221446 0.010489024802209144
Smart sp500 1.495890411 7.350102709190681 0.006845591220661392
Smart sp500 2.0 7.666352990328735 0.004818211717810933
Smart sp500 3.0 8.210698403595769 0.0034492334067238086
Smart sp500 4.0 8.50624631614805 0.0027426961569329655
Smart sp500 4.997260274 8.663253209767547 0.00236441074081179
Smart sp500 7.002739726 9.35585157807072 0.0017271622082391889
Smart sp500 10.002739726 9.752969872182993 0.002080139620302425
Smart euro50 0.0191780822 9.694493423110082 0.029536626926127
Smart euro50 0.0849315068 9.13775867315807 0.013503916104162642
Smart euro50 0.1616438356 9.151457232578183 0.006578088068629544
Smart euro50 0.2383561644 9.524210505699257 0.005049490070317558
Smart euro50 0.4904109589 10.171191635918229 0.0043457639701226305
Smart euro50 0.7479452055 10.707917488049453 0.004180090090487624
Smart euro50 0.997260274 11.100799366522805 0.003840844870761505
Smart euro50 1.495890411 11.482309000289792 0.00338171617464961
Smart euro50 1.997260274 11.610583261135005 0.0028598496006205865
Smart euro50 2.997260274 11.658533909714405 0.002160450068943669
Smart euro50 4.0 11.65286952221993 0.001771702164263857
Smart euro50 4.997260274 11.648928263741087 0.0016198288694443627
Smart euro50 7.0 11.60817919829621 0.0014493052036686738
Smart euro50 10.002739726 11.518126847211382 0.0013297198189656425
Smart msci 0.0191780822 1.8181090734960044 0.05683467466913718
Smart msci 0.0849315068 1.6671430237390397 0.016272393682440753
Smart msci 0.1616438356 1.6493004614329378 0.00811954411750409
Smart msci 0.2383561644 1.669743628537794 0.01633527743942964
Smart msci 0.4904109589 1.634802204202256 0.016006400169383986
Smart msci 0.7479452055 1.763657990451606 0.010984687831538565
Smart msci 1.0 1.821534437420661 0.008711925669882952
Smart msci 1.495890411 1.7208868860156807 0.006316074398362196
Smart msci 2.0 1.6554672021658396 0.004912920786594704
Smart msci 3.0 1.5790441794093644 0.003497036552762875
Smart msci 4.0 1.5388171354258644 0.0029696437171803877
Smart msci 4.997260274 1.5147725478221872 0.002785401182439333
Smart msci 7.002739726 1.4879608861962415 0.002751710688869469
Smart msci 10.002739726 1.4700191900512107 0.0028693358748546204
Smart bnp 0.0191780822 1.9936366008988182 0.03596329936121457
Smart bnp 0.0849315068 1.9638995648186546 0.011613090299706107
Smart bnp 0.1616438356 1.9777568187417804 0.0042830486121449
Smart bnp 0.2383561644 1.9991445715232854 0.004085916060206629
Smart bnp 0.4904109589 2.025469767020502 0.004779329435256692
Smart bnp 0.7479452055 2.102425712031701 0.0034804026444361104
Smart bnp 1.0 2.17475601387646 0.004413379775161853
Smart bnp 1.495890411 2.216662189503953 0.005437157908972895
Smart bnp 2.0 2.2402805284409393 0.004733855122456382
Smart bnp 3.0 2.3701215358357173 0.0026910729905818705
Smart bnp 4.0 2.4105704584909233 0.0017102248625642164
Smart bnp 4.997260274 2.4202021360950696 0.001322682395917034
Smart bnp 7.002739726 2.444462417532444 0.005713287369153968
Smart bnp 10.002739726 2.511456880925811 0.0165677089650442
Smart axa 0.0191780822 0.9343764401148997 0.03900828816419411
Smart axa 0.0849315068 0.8707902396158916 0.011469463984613537
Smart axa 0.1616438356 0.8795510781977998 0.004665237990467318
Smart axa 0.2383561644 0.9045677740786014 0.004378813294156195
Smart axa 0.4904109589 0.9312568981916527 0.0038270713772517724
Smart axa 0.7479452055 0.979126730278076 0.004021200029129083
Smart axa 1.0 1.0185787263206707 0.006081315323931202
Smart axa 1.495890411 1.0230354041492309 0.004336385394769316
Smart axa 2.0 1.0510915039135664 0.0031463197551275376
Smart axa 3.0 1.0789849573969958 0.0018385096314861202
Smart axa 4.0 1.0936337430535885 0.0011304838475897701
Smart axa 4.997260274 1.101199718491188 7.014406658664167E-4
Smart axa 7.002739726 1.111362553125361 0.00472914529204762
Smart axa 10.002739726 1.1147255049699014 0.006358770652604993
Smart airliq 0.0191780822 1.6791809574371253 0.025934740190211664
Smart airliq 0.0849315068 1.698066425103549 0.009900029242239827
Smart airliq 0.1616438356 1.714560165308726 0.004204117703983967
Smart airliq 0.2383561644 1.7365977261497323 0.0027185497144446404
Smart airliq 0.4904109589 1.7824852211199005 0.002604763416252224
Smart airliq 0.7479452055 1.8848459661364079 0.0033595343558758383
Smart airliq 1.0 1.9582324845583439 0.0032159329276656573
Smart airliq 1.495890411 1.9433273326460452 0.0036520928725686025
Smart airliq 2.0 2.019766323861313 0.003001575983141119
Smart airliq 3.0 2.1001829427274483 0.0023250129891637587
Smart airliq 4.0 2.133660743760213 0.00207910338076127
Smart airliq 4.997260274 2.1525593428930208 0.002112318531132982
Smart airliq 7.002739726 2.177599817670783 0.0023136216402504213
Smart airliq 10.002739726 2.202749740165211 0.002551125002548606
Smart bancorp 0.0191780822 0.831609535375075 0.01450549157348033
Smart bancorp 0.0849315068 0.8049867228063354 0.008112149842072678
Smart bancorp 0.1616438356 0.7874191709406858 0.004539358918464349
Smart bancorp 0.2383561644 0.7770088495709736 0.003313279977126315
Smart bancorp 0.4904109589 0.7989219146647982 0.00675240822165236
Smart bancorp 0.7479452055 0.8141027749571893 0.00926740516804526
Smart bancorp 1.0 0.8211822584587217 0.010537385000252284
Smart bancorp 1.495890411 0.827709254852992 0.011829127660325137
Smart bancorp 2.0 0.830561531707394 0.012506311637255923
Smart bancorp 3.0 0.832605814638738 0.013191043383615332
Smart bancorp 4.0 0.8329564204199159 0.013545997670343026
Smart bancorp 4.997260274 0.8327685291864525 0.01376708451871602
Smart bancorp 7.002739726 0.8321430790551899 0.014030717262903414
Smart bancorp 10.002739726 0.8319965914013143 0.01425133461626351
Smart wells 0.0191780822 1.6658963994391125 0.0600741903624854
Smart wells 0.0849315068 1.4883915246201551 0.020213501373907282
Smart wells 0.1616438356 1.4376051023714138 0.008783146872444685
Smart wells 0.2383561644 1.4222846892384884 0.0058588150825020545
Smart wells 0.4904109589 1.5214663699927162 0.005578085351949888
Smart wells 0.7479452055 1.5642560015172091 0.004862076304192241
Smart wells 1.0 1.58367259453305 0.004062451637642312
Smart wells 1.495890411 1.5810882588896376 0.0036988518589986348
Smart wells 2.0 1.5724107949351531 0.0032421794549166174
Smart wells 3.0 1.5565536067241594 0.004046541464898059
Smart wells 4.0 1.5486558742847298 0.004711368141770356
Smart wells 4.997260274 1.543984058694064 0.0051629694106196085
Smart wells 7.002739726 1.5388151988370464 0.005719532658456557
