scheme asset expiry alpha error
BDF2-40 1 0.057534247 0.27137393871658594 7.877729350110589E-4
BDF2-40 1 0.153424658 0.2563057255383151 7.267985647108452E-4
BDF2-40 1 0.230136986 0.2561250029037828 1.279148135423886E-4
BDF2-40 1 0.479452055 0.25497200469019027 9.132331788541776E-5
BDF2-40 1 0.728767123 0.25673240311640066 5.220483659017805E-5
BDF2-40 1 1.22739726 0.2600459894204875 4.362044394522881E-5
BDF2-40 1 1.726027397 0.26104346185104016 3.512994141935611E-5
BDF2-40 1 2.243835616 0.2622616780518336 3.0042737031665812E-5
BDF2-40 1 2.742465753 0.26219459522938926 2.706252092103545E-5
BDF2-40 1 3.24109589 0.2630521317476931 2.5106895657534914E-5
BDF2-40 1 4.238356164 0.26424194833413556 2.2720161716967118E-5
BDF2-40 sp500 0.0191780822 0.18457233783288488 0.030741445526064497
BDF2-40 sp500 0.0849315068 0.16660058230041802 0.013954014968841345
BDF2-40 sp500 0.1616438356 0.16271696972735727 0.0095497642484205
BDF2-40 sp500 0.2383561644 0.16551808055713327 0.01047853689286276
BDF2-40 sp500 0.4904109589 0.17282828767822037 0.011344287032601284
BDF2-40 sp500 0.7479452055 0.18130702287790867 0.01030083885488177
BDF2-40 sp500 1.0 0.1872082096753794 0.00890892499012535
BDF2-40 sp500 1.495890411 0.19944100799605596 0.005577607155941706
BDF2-40 sp500 2.0 0.20895326211600226 0.0038263673622853404
BDF2-40 sp500 3.0 0.22629354452437137 0.002773452752844245
BDF2-40 sp500 4.0 0.2370183365292225 0.0021667858382886716
BDF2-40 sp500 4.997260274 0.2444225744465974 0.0018256625559295036
BDF2-40 sp500 7.002739726 0.2735942958917314 0.0013997954455156512
BDF2-40 sp500 10.002739726 0.30770392380126427 0.0011070736650564891
BDF2-40 euro50 0.0191780822 0.19784519833140923 0.02914488927523252
BDF2-40 euro50 0.0849315068 0.17740172741306973 0.010965879151838713
BDF2-40 euro50 0.1616438356 0.1800289525550758 0.003942542081845792
BDF2-40 euro50 0.2383561644 0.18631172348839672 0.002283457994545635
BDF2-40 euro50 0.4904109589 0.19967675470172636 0.0023441176703754567
BDF2-40 euro50 0.7479452055 0.21082493570556693 0.0026718312644529525
BDF2-40 euro50 0.997260274 0.2190494065946931 0.0026698976118064914
BDF2-40 euro50 1.495890411 0.2273380862469339 0.0025188544204251
BDF2-40 euro50 1.997260274 0.23078043917382457 0.0020333637299102393
BDF2-40 euro50 2.997260274 0.2331467633653829 0.0015136715471382627
BDF2-40 euro50 4.0 0.23458279124419987 0.0012372061038784102
BDF2-40 euro50 4.997260274 0.236477626259399 0.0011090870063083116
BDF2-40 euro50 7.0 0.2399774919232866 9.586640150684655E-4
BDF2-40 euro50 10.002739726 0.2457549415263414 8.380438503706413E-4
BDF2-40 msci 0.0191780822 0.24732151544973674 0.05763378649591479
BDF2-40 msci 0.0849315068 0.2231620692633656 0.014651660768156684
BDF2-40 msci 0.1616438356 0.22148864403763385 0.005525676090659394
BDF2-40 msci 0.2383561644 0.22410375575903516 0.014454736903509622
BDF2-40 msci 0.4904109589 0.2213305939925056 0.014087095718893853
BDF2-40 msci 0.7479452055 0.23846695999324244 0.009780735223886965
BDF2-40 msci 1.0 0.24667375450564513 0.007847187147547886
BDF2-40 msci 1.495890411 0.23376919383578612 0.005729907920249538
BDF2-40 msci 2.0 0.22559431216922507 0.004485364074206231
BDF2-40 msci 3.0 0.21828994410040833 0.003107992914622663
BDF2-40 msci 4.0 0.21559238518220622 0.0023566177675540365
BDF2-40 msci 4.997260274 0.21402714320004027 0.001962662479922316
BDF2-40 msci 7.002739726 0.21407910394008733 0.0017293850532398745
BDF2-40 msci 10.002739726 0.217959578448757 0.0017850288490633306
BDF2-40 bnp 0.0191780822 0.30574904050534535 0.03582908473974821
