model asset expiry sigma error
SABR-1 1 0.057534247 0.27071280732674924 1.3836185271160552E-4
SABR-1 1 0.153424658 0.25633590818787305 1.146520467763576E-4
SABR-1 1 0.230136986 0.2560007061309942 6.900779557984775E-5
SABR-1 1 0.479452055 0.2548513893293721 5.1466929206866086E-5
SABR-1 1 0.728767123 0.25657395882255785 1.7656317508978343E-5
SABR-1 1 1.22739726 0.2597808147443333 1.5400760078744236E-5
SABR-1 1 1.726027397 2.3298869021245805 2.4820026353598293E-4
SABR-1 1 2.243835616 0.2618466175287669 1.839413063815302E-5
SABR-1 1 2.742465753 0.26171910587514 1.9008871317835274E-5
SABR-1 1 3.24109589 0.2625108035572436 1.9865228339467065E-5
SABR-1 1 4.238356164 0.2635681853134376 2.159544354956229E-5
SABR-1 sp500 0.0191780822 0.18087264101050185 0.028345962027265494
SABR-1 sp500 0.0849315068 0.16587328098501986 0.013737815882011799
SABR-1 sp500 0.1616438356 0.16226245076978776 0.009610729584430832
SABR-1 sp500 0.2383561644 0.16482921794019767 0.010558999180660639
SABR-1 sp500 0.4904109589 0.17257484150290642 0.011468842033292409
SABR-1 sp500 0.7479452055 0.18097974737128153 0.010456266842193385
SABR-1 sp500 1.0 0.18690631506397795 0.009052504601453985
SABR-1 sp500 1.495890411 0.19907997585876397 0.005716318837557428
SABR-1 sp500 2.0 0.20863740826376181 0.003947516948256122
SABR-1 sp500 3.0 0.22631007773453007 0.002878124943117467
SABR-1 sp500 4.0 0.23671626314329952 0.0022807871246836235
SABR-1 sp500 4.997260274 0.2436493537287306 0.0019543090471884073
SABR-1 sp500 7.002739726 0.2781027260465116 0.0014782899141123763
SABR-1 sp500 10.002739726 0.353692209866173 0.0012981704374958754
SABR-1 euro50 0.0191780822 0.1873434713903515 0.026561888106819625
SABR-1 euro50 0.0849315068 0.17741911296568041 0.010856032085456789
SABR-1 euro50 0.1616438356 0.1784578216977496 0.0038701565134647902
SABR-1 euro50 0.2383561644 0.18613595759309287 0.0024546161802987292
SABR-1 euro50 0.4904109589 0.1994067013551848 0.0024903203066458414
SABR-1 euro50 0.7479452055 0.21050417906839733 0.0027848335027524625
SABR-1 euro50 0.997260274 0.21870529137989259 0.002762064853985948
SABR-1 euro50 1.495890411 0.22696061922582117 0.002599164610499633
SABR-1 euro50 1.997260274 0.23019133984483925 0.002132397429831462
SABR-1 euro50 2.997260274 0.23238558271405718 0.0016046629958950884
SABR-1 euro50 4.0 0.2336498013013231 0.0013220262729537475
SABR-1 euro50 4.997260274 0.23513474928745687 0.0012051436007921679
SABR-1 euro50 7.0 0.23751072917129634 0.0010790704161484728
