Method Expiry alpha rho nu Error
Reference	0.058	0.271	-0.345	1.01	0
Reference	0.153	0.256	-0.321	0.933	0
Reference	0.23	0.256	-0.346	0.82	0
Reference	0.479	0.255	-0.37	0.629	0
Reference	0.729	0.257	-0.403	0.528	0
Reference	1.227	0.26	-0.429	0.448	0
Reference	1.726	0.261	-0.44	0.392	0
Reference	2.244	0.262	-0.445	0.355	0
Reference	2.742	0.262	-0.445	0.329	0
Reference	3.241	0.262	-0.447	0.31	0
Reference	4.239	0.263	-0.452	0.284	0
Guess-0-alpha1 0.058 0.2709984874438384 -0.3425427673671414 1.007509623276036 2.6393461743061945E-4
Guess-0-alpha1 0.153 0.25598313483316104 -0.31876923453081013 0.9342883835948578 1.356890170976103E-4
Guess-0-alpha1 0.23 0.2559782908613686 -0.3442449403252768 0.8219412123893426 1.1318159488554202E-4
Guess-0-alpha1 0.479 0.2549777254421676 -0.3690135539918509 0.6307740373482532 8.25054424014339E-5
Guess-0-alpha1 0.729 0.2569888579742772 -0.40235929630168865 0.5284737620996346 2.303795320052411E-5
Guess-0-alpha1 1.227 0.2600009403659588 -0.4286044682474431 0.4471241679216308 6.14673521508896E-5
Guess-0-alpha1 1.726 0.26101073747549103 -0.4397441460772176 0.3900566864977419 1.169946131722678E-4
Guess-0-alpha1 2.244 0.2620164239380013 -0.44482363830231425 0.3522641442911215 1.5907048255794896E-4
Guess-0-alpha1 2.742 0.2620190339230117 -0.44487018578823445 0.3257562409738464 1.8536617723839544E-4
Guess-0-alpha1 3.241 0.2620195541281197 -0.44690143409966027 0.3062433405197419 2.1255832179991498E-4
Guess-0-alpha1 4.239 0.26301402086413955 -0.45194185038651113 0.2792307430773955 2.6670131537384167E-4
Guess-1 0.058 0.2709984874438384 -0.34292152637132184 1.0063968224972333 2.9491971182284593E-4
Guess-1 0.153 0.25598313483316104 -0.3196475356774836 0.9317212229974958 1.3856971566278032E-4
Guess-1 0.23 0.2559782908613686 -0.345160095143526 0.8197619237884315 6.096069427202018E-5
Guess-1 0.479 0.2549777254421676 -0.3698237773998005 0.6293921146017503 1.8061885896382936E-5
Guess-1 0.729 0.2569888579742772 -0.4027985583373812 0.5278974480693457 1.693184379084226E-5
Guess-1 1.227 0.2600009403659588 -0.42853067187427424 0.44720116624197137 5.922028122194173E-5
Guess-1 1.726 0.26101073747549103 -0.43915269103930465 0.3905820185679035 1.0243799944112365E-4
Guess-1 2.244 0.2620164239380013 -0.4437700298227002 0.35310049750234984 1.376521517636333E-4
Guess-1 2.742 0.2620190339230117 -0.443459695422865 0.32679235777114507 1.6061170556840932E-4
Guess-1 3.241 0.2620195541281197 -0.4451210828415313 0.3074682223274231 1.8530481536711664E-4
Guess-1 4.239 0.26301402086413955 -0.44940344207589134 0.2808079487070055 2.3659231353532453E-4
Guess-0 0.058 0.2717265436532465 -0.3425427673671414 1.007509623276036 7.08240615193153E-4
Guess-0 0.153 0.2576513695239521 -0.31876923453081013 0.9342883835948578 0.0016730605267773371
Guess-0 0.23 0.2576376367136427 -0.3442449403252768 0.8219412123893426 0.0016785943255254291
Guess-0 0.479 0.2563879506401287 -0.3690135539918509 0.6307740373482532 0.0014250644480913505
Guess-0 0.729 0.2577308638971223 -0.40235929630168865 0.5284737620996346 7.379006951622587E-4
Guess-0 1.227 0.25987737915203585 -0.4286044682474431 0.4471241679216308 1.463640551466192E-4
Guess-0 1.726 0.2600235015594432 -0.4397441460772176 0.3900566864977419 9.912732764252809E-4
Guess-0 2.244 0.26025691591906813 -0.44482363830231425 0.3522641442911215 0.0017398480054618595
Guess-0 2.742 0.259666087038233 -0.44487018578823445 0.3257562409738464 0.00230655077191627
Guess-0 3.241 0.25905499953455385 -0.44690143409966027 0.3062433405197419 0.00288452015056158
Guess-0 4.239 0.2587873393596967 -0.45194185038651113 0.2792307430773955 0.004057524346368447
