Strike alpha Volatility
713.095 Reference 0.30614
784.4045000000001 Reference 0.29733
855.714 Reference 0.28876
927.0235 Reference 0.28046
998.333 Reference 0.27236
1069.6425 Reference 0.26427
1140.952 Reference 0.25568
1212.2615 Reference 0.24684999999999999
1283.5710000000001 Reference 0.23845
1354.8805 Reference 0.23039
1426.19 Reference 0.2228
1497.4995000000001 Reference 0.21564
1568.8090000000002 Reference 0.20909
1640.1185 Reference 0.20317
1711.428 Reference 0.19797
1782.7375000000002 Reference 0.19366
1854.047 Reference 0.19036
1925.3565 Reference 0.18774000000000002
1996.666 Reference 0.18539000000000003
2067.9755 Reference 0.18335
2139.285 Reference 0.18161000000000002
713.095 Low 0.31872929631010805
713.095 High 0.313076884977434
727.3569 Low 0.31607647687321205
727.3569 High 0.31057710872666505
741.6188000000001 Low 0.31346836688699115
741.6188000000001 High 0.3081197923436749
755.8807 Low 0.3109033941688097
755.8807 High 0.30570344274913175
770.1426000000001 Low 0.308380076811977
770.1426000000001 High 0.30332665219907284
784.4045000000001 Low 0.3058970168069421
784.4045000000001 High 0.30098809222754896
798.6664000000001 Low 0.3034528942368108
798.6664000000001 High 0.29868650813308717
812.9283000000001 Low 0.3010464619868375
812.9283000000001 High 0.2964207139517612
827.1902 Low 0.2986765409148319
827.1902 High 0.29418958786657223
841.4521 Low 0.2963420154357295
841.4521 High 0.2919920680088178
855.714 Low 0.2940418294790263
855.714 High 0.28982714861229747
869.9759 Low 0.29177498278252245
869.9759 High 0.2876938764857
884.2378 Low 0.28954052748994136
884.2378 High 0.28559134777242384
898.4997000000001 Low 0.2873375650235905
898.4997000000001 High 0.2835187049704987
912.7616 Low 0.2851652432063759
912.7616 High 0.2814751341882569
927.0235 Low 0.28302275361023893
927.0235 High 0.2794598626140169
941.2854000000001 Low 0.28090932911050465
941.2854000000001 High 0.27747215618034254
955.5473000000001 Low 0.27882424162775754
955.5473000000001 High 0.2755113174054555
969.8091999999999 Low 0.2767668000407382
969.8091999999999 High 0.27357668339616226
984.0711 Low 0.2747363482554094
984.0711 High 0.271667623998232
998.333 Low 0.2727322634168042
998.333 High 0.26978354008154765
1012.5948999999999 Low 0.27075395425156107
1012.5948999999999 High 0.2679238619485892
1026.8568 Low 0.2688008595302082
1026.8568 High 0.26608804785590345
1041.1187 Low 0.26687244663927023
1041.1187 High 0.2642755826391825
1055.3806 Low 0.2649682102541832
1055.3806 High 0.2624859764334422
1069.6425 Low 0.2630876711048074
1069.6425 High 0.26071876348056333
1083.9044000000001 Low 0.2612303748260491
1083.9044000000001 High 0.2589735010171454
1098.1663 Low 0.2593958908867355
1098.1663 High 0.2572497682362345
1112.4282 Low 0.2575838115904672
1112.4282 High 0.2555471653170474
1126.6901 Low 0.2557937511426723
1126.6901 High 0.2538653125172872
1140.952 Low 0.2540253447785436
1140.952 High 0.2522038493231096
1155.2139000000002 Low 0.25227824794694964
1155.2139000000002 High 0.2505624336521733
1169.4758000000002 Low 0.25055213554576006
1169.4758000000002 High 0.2489407411055744
1183.7377000000001 Low 0.24884670120435856
1183.7377000000001 High 0.24733846426477932
1197.9996 Low 0.2471616566093979
1197.9996 High 0.2457553120299555
1212.2615 Low 0.24549673087010584
1212.2615 High 0.24419100899635604
1226.5234 Low 0.24385166991967863
1226.5234 High 0.24264529486564723
1240.7853 Low 0.242226235949503
1240.7853 High 0.24111792388927084
1255.0472 Low 0.24062020687311972
1255.0472 High 0.23960866434112454
1269.3091000000002 Low 0.23903337581700565
1269.3091000000002 High 0.23811729801700618
1283.5710000000001 Low 0.23746555063539174
1283.5710000000001 High 0.2366436197584283
1297.8328999999999 Low 0.2359165534464518
1297.8328999999999 High 0.23518743699852918
1312.0947999999999 Low 0.23438622018731886
1312.0947999999999 High 0.2337485693279553
1326.3567 Low 0.23287440018546718
1326.3567 High 0.2323268480786702
1340.6186 Low 0.23138095574410483
1340.6186 High 0.23092211592377726
1354.8805 Low 0.22990576173928431
1354.8805 High 0.22953422649151634
1369.1424 Low 0.22844870522651098
1369.1424 High 0.22816304399168283
1383.4043 Low 0.2270096850547076
1383.4043 High 0.22680844285280288
1397.6662000000001 Low 0.22558861148544576
1397.6662000000001 High 0.22547030736846913
1411.9281 Low 0.22418540581538673
1411.9281 High 0.2241485313512926
1426.19 Low 0.22279999999999994
1426.19 High 0.22284301779302856
1440.4519 Low 0.22143233627662012
1440.4519 High 0.2215536785294644
1454.7138 Low 0.22008236678496168
1454.7138 High 0.22028043390871896
1468.9757000000002 Low 0.21875005318335405
1468.9757000000002 High 0.21902321246168946
1483.2376000000002 Low 0.21743536625892662
1483.2376000000002 High 0.21778195057342153
1497.4995000000001 Low 0.21613828553012346
1497.4995000000001 High 0.2165565921542516
1511.7614 Low 0.2148587988399732
1511.7614 High 0.21534708830961483
1526.0232999999998 Low 0.21359690193865
1526.0232999999998 High 0.21415339700751013
1540.2852000000003 Low 0.2123525980539708
1540.2852000000003 High 0.21297548274266262
1554.5470999999998 Low 0.2111258974485754
1554.5470999999998 High 0.2118133161964992
1568.8090000000002 Low 0.20991681696269457
1568.8090000000002 High 0.21066687389214467
1583.0709 Low 0.20872537954153642
1583.0709 High 0.20953613784372144
1597.3328000000001 Low 0.20755161374650177
1597.3328000000001 High 0.20842109519932628
1611.5946999999999 Low 0.20639555324961303
1611.5946999999999 High 0.20732173787716635
1625.8566000000003 Low 0.2052572363107442
1625.8566000000003 High 0.20623806219442156
1640.1185 Low 0.20413670523745112
1640.1185 High 0.2051700684885317
1654.3804000000002 Low 0.20303400582743764
1654.3804000000002 High 0.20411776073070814
1668.6423 Low 0.20194918679394033
1668.6423 High 0.20308114613160125
1682.9042000000004 Low 0.2008822991745785
1682.9042000000004 High 0.2020602347391879
1697.1661 Low 0.19983339572449527
1697.1661 High 0.20105503902906702
1711.428 Low 0.19880253029489636
1711.428 High 0.2000655734875106
1725.6899 Low 0.19778975719840183
1725.6899 High 0.19909185418774455
1739.9518 Low 0.19679513056291356
1739.9518 High 0.19813389836009768
1754.2137 Low 0.19581870367601598
1754.2137 High 0.19719172395679757
1768.4756 Low 0.1948605283222168
1768.4756 High 0.19626534921234892
1782.7375000000002 Low 0.19392065411563356
1782.7375000000002 High 0.1953547922005782
1796.9994000000002 Low 0.19299912783100728
1796.9994000000002 High 0.19446007038957563
1811.2613000000001 Low 0.19209599273618572
1811.2613000000001 High 0.19358120019590933
1825.5232 Low 0.1912112879294584
1825.5232 High 0.19271819653961772
1839.7851 Low 0.19034504768532676
1839.7851 High 0.191871072401621
1854.047 Low 0.1894973008124782
1854.047 High 0.19103983838529692
1868.3089000000002 Low 0.18866807002785055
1868.3089000000002 High 0.19022450228407414
1882.5707999999997 Low 0.1878573713507786
1882.5707999999997 High 0.18942506865698364
1896.8327000000002 Low 0.1870652135212398
1896.8327000000002 High 0.1886415384141688
1911.0946 Low 0.18629159744621623
1911.0946 High 0.18787390841441157
1925.3565 Low 0.18553651567811175
1925.3565 High 0.18712217107675216
1939.6183999999998 Low 0.18479995192904736
1939.6183999999998 High 0.186386314008288
1953.8803000000003 Low 0.18408188062467237
1953.8803000000003 High 0.18566631965021396
1968.1422 Low 0.1833822665008926
1968.1422 High 0.18496216494412146
1982.4041000000002 Low 0.18270106424662413
1982.4041000000002 High 0.18427382102050507
1996.666 Low 0.18203821819534083
1996.666 High 0.18360125291132673
2010.9279000000004 Low 0.1813936620677903
2010.9279000000004 High 0.18294441928836788
2025.1897999999999 Low 0.18076731876782423
2025.1897999999999 High 0.18230327222895612
2039.4517000000003 Low 0.18015910023282458
2039.4517000000003 High 0.1816777570104827
2053.7136 Low 0.17956890733971237
2053.7136 High 0.18106781193494548
2067.9755 Low 0.17899662986701792
2067.9755 High 0.1804733681845373
2082.2374 Low 0.1784421465129676
2082.2374 High 0.17989434970908594
2096.4993 Low 0.17790532496902356
2096.4993 High 0.17933067314591386
2110.7612 Low 0.17738602204779616
2110.7612 High 0.17878224777244064
2125.0231 Low 0.17688408386375512
2125.0231 High 0.178248975491606
2139.285 Low 0.17639934606469035
2139.285 High 0.17773075084993412
